id,entri,induk_entri,kandidat_reduplikasi,keyakinan,rekomendasi_tagar,catatan
71633,almuhit,muhit,,,(manual),Perlu tinjau manual
46477,bebatuan,batu,R.purwa,rendah,ber + R.purwa + an,Kandidat reduplikasi parsial awal tanpa tanda hubung.
46534,bebauan,bau (1),R.purwa,rendah,ber + R.purwa + an,Kandidat reduplikasi parsial awal tanpa tanda hubung.
47497,bebercak,bercak,R.purwa,rendah,ber + R.purwa,Kandidat reduplikasi parsial awal tanpa tanda hubung.
48544,bebuahan,buah,R.purwa,rendah,ber + R.purwa + an,Kandidat reduplikasi parsial awal tanpa tanda hubung.
49269,bebunyian,bunyi (1),R.purwa,rendah,ber + R.purwa + an,Kandidat reduplikasi parsial awal tanpa tanda hubung.
49486,bebuyutan,buyut (2),R.purwa,rendah,ber + R.purwa + an,Kandidat reduplikasi parsial awal tanpa tanda hubung.
50626,becermin,cermin,,,ber,Perlu tinjau manual
52563,bederma,derma,,,ber,Perlu tinjau manual
63936,bekerja,kerja,,,ber,Perlu tinjau manual
63952,bekerlapan,kerlap (1),,,ber + an,Perlu tinjau manual
63961,bekerlip,kerlip (1),,,ber,Perlu tinjau manual
63973,bekernyut,kernyut (1),,,ber,Perlu tinjau manual
63974,bekernyutan,kernyut (1),,,ber + an,Perlu tinjau manual
64007,bekersik,kersik (2),,,ber,Perlu tinjau manual
64009,bekertak,kertak-kertuk,,,ber,Perlu tinjau manual
66353,belacak,lacak (1),,,ber,Perlu tinjau manual
66422,belaga,laga (2),,,ber,Perlu tinjau manual
66457,belagu,lagu (2),,,ber,Perlu tinjau manual
68179,belengkok,lengkok,,,ber,Perlu tinjau manual
68180,belengkokan,lengkok,,,ber + kan,Perlu tinjau manual
68204,belengset,lengset,,,ber,Perlu tinjau manual
68378,belesir,lesir (1),,,ber,Perlu tinjau manual
68426,beleter,leter (1),,,ber,Perlu tinjau manual
91059,belunjur,unjur,,,ber,Perlu tinjau manual
75171,bepercikan,percik,,,ber + kan,Perlu tinjau manual
75207,bepergian,pergi,,,ber + an,Perlu tinjau manual
57399,beperhatian,hati,,,ber + an,Perlu tinjau manual
75316,beperkara,perkara,,,ber,Perlu tinjau manual
42190,berajimumpung,aji (1),,,ber,Perlu tinjau manual
46986,berbelaskasihan,belas (1),,,ber + an,Perlu tinjau manual
49522,bercabiran,cobar-cabir,,,ber + an,Perlu tinjau manual
51492,berdahanam,dahan (2),,,ber,Perlu tinjau manual
52542,berderetderet,deret (1),,,ber,Perlu tinjau manual
