id,entri,induk,saran_tagar,alasan_saran
71633,almuhit,muhit,,kemungkinan kombinasi prefiks/sufiks kompleks
46477,bebatuan,batu,ber-; -an; ber--an,indikasi prefiks be-
46534,bebauan,bau (1),ber-; -an; ber--an,indikasi prefiks be-
48544,bebuahan,buah,ber-; -an; ber--an,indikasi prefiks be-
49269,bebunyian,bunyi (1),ber-; -an; ber--an,indikasi prefiks be-
49486,bebuyutan,buyut (2),ber-; -an; ber--an,indikasi prefiks be-
64009,bekertak,kertak-kertuk,ber-,indikasi prefiks be-
66353,belacak,lacak (1),ber-,indikasi prefiks be-
66422,belaga,laga (2),ber-,indikasi prefiks be-
66457,belagu,lagu (2),ber-,indikasi prefiks be-
68179,belengkok,lengkok,ber-,indikasi prefiks be-
68180,belengkokan,lengkok,ber-; -kan,indikasi prefiks be-
68204,belengset,lengset,ber-,indikasi prefiks be-
68378,belesir,lesir (1),ber-,indikasi prefiks be-
68426,beleter,leter (1),ber-,indikasi prefiks be-
91059,belunjur,unjur,ber-,indikasi prefiks be-
49522,bercabiran,cobar-cabir,ber-; -an; ber--an,indikasi prefiks ber-
51492,berdahanam,dahan (2),ber-,indikasi prefiks ber-
70668,bermaulid Rasul,maulid,ber-,indikasi prefiks ber-
75286,berpemerintahan,perintah,ber-; -an; ber--an,indikasi prefiks ber-
85895,berpenampilan,tampil,ber-; -an; ber--an,indikasi prefiks ber-
86733,berpenaruhan,taruh,ber-; -an; ber--an,indikasi prefiks ber-
88159,berpenerangan,terang,ber-; -an; ber--an,indikasi prefiks ber-
79876,berpenyakitan,sakit,ber-; -an; ber--an,indikasi prefiks ber-
87524,bertelengkup,telungkup,ber-,indikasi prefiks ber-
49703,cecairan,cair,-an,indikasi sufiks an
51491,dahanam,dahan (2),,kemungkinan perubahan alomorf atau butuh aturan khusus
51950,dedaunan,daun,-an,indikasi sufiks an
46607,di bawah,di (1),di-,indikasi prefiks di-
68577,dua,lidah (1),,kemungkinan perubahan alomorf atau butuh aturan khusus
56154,gegoakan,goak (1),-kan,indikasi sufiks kan
56615,geguritan,gurit,-an,indikasi sufiks an
55366,gemeletuk,geletuk,,kemungkinan perubahan alomorf atau butuh aturan khusus
59540,jejaka,jaka,,kemungkinan kombinasi prefiks/sufiks kompleks
59763,jejampi,jampi,-i,indikasi sufiks i
59775,jejamu,jamu (1),,kemungkinan perubahan alomorf atau butuh aturan khusus
59991,jejaring,jaring,,kemungkinan kombinasi prefiks/sufiks kompleks
60126,jejawi,jawi (3),-i,indikasi sufiks i
60314,jejenang,jenang (2),,kemungkinan perubahan alomorf atau butuh aturan khusus
59974,jemari,jari,-i,indikasi sufiks i
59992,jemaring,jaring,,kemungkinan perubahan alomorf atau butuh aturan khusus
68603,kelihatannya,lihat,ke-; -an; ke--an,indikasi prefiks ke-
74710,kemelesetan,peleset,ke-; -an; ke--an,indikasi prefiks ke-
86707,kemenarikan,tarik,ke-; -kan,indikasi prefiks ke-
63455,kentungan,kentung-kentung,ke-; -an; ke--an,indikasi prefiks ke-
74788,kepemelukan,peluk (1),ke-; -kan,indikasi prefiks ke-
75841,kepemimpinan,pimpin,ke-; -an; ke--an,indikasi prefiks ke-
