id,entri,induk_entri,jenis
41641,ada-adanyakah,ada,turunan
41642,ada-ada saja,ada,turunan
42191,ajisesirep,aji (1),turunan
42237,akalakalan,akal,turunan
42524,alah-mengalahi,alah (1),turunan
71633,almuhit,muhit,turunan
44554,atas-mengatasi,atas,turunan
44714,awang-gemawang,awang (1),turunan
44839,ayun-temayun,ayun,turunan
46203,baru-baru ini,baru (1),turunan
46477,bebatuan,batu,turunan
46534,bebauan,bau (1),turunan
47497,bebercak,bercak,turunan
48544,bebuahan,buah,turunan
49269,bebunyian,bunyi (1),turunan
49486,bebuyutan,buyut (2),turunan
50626,becermin,cermin,turunan
52563,bederma,derma,turunan
46801,bedil-bedal,bedil,turunan
63767,bekerdom-kerdom,kerdom,turunan
63936,bekerja,kerja,turunan
63946,bekerjap-kerjap,kerjap,turunan
63952,bekerlapan,kerlap (1),turunan
63961,bekerlip,kerlip (1),turunan
63973,bekernyut,kernyut (1),turunan
63974,bekernyutan,kernyut (1),turunan
64007,bekersik,kersik (2),turunan
64009,bekertak,kertak-kertuk,turunan
64010,bekertak-kertak,kertak-kertuk,turunan
66353,belacak,lacak (1),turunan
66422,belaga,laga (2),turunan
66457,belagu,lagu (2),turunan
68179,belengkok,lengkok,turunan
68180,belengkokan,lengkok,turunan
68204,belengset,lengset,turunan
68378,belesir,lesir (1),turunan
68426,beleter,leter (1),turunan
91059,belunjur,unjur,turunan
75171,bepercikan,percik,turunan
75207,bepergian,pergi,turunan
57399,beperhatian,hati,turunan
75316,beperkara,perkara,turunan
41719,beradik-berkakak,adik,turunan
42190,berajimumpung,aji (1),turunan
46986,berbelaskasihan,belas (1),turunan
49522,bercabiran,cobar-cabir,turunan
50142,bercebar-cebur,cebur,turunan
50227,bercekakak-cekikik,cekakak,turunan
51020,bercoreng-moreng,coreng,turunan
51202,bercura-bura,cura (2),turunan
51492,berdahanam,dahan (2),turunan
52542,berderetderet,deret (1),turunan
70818,berduri,menduri,turunan
84197,berkesesuaian,suai (1),turunan
64143,berketak-ketik,ketak (1),turunan
64228,berketap-ketip,ketip (3),turunan
64144,berketuk-ketak,ketak (1),turunan
68502,berliang-liuk,liang (2),turunan
70668,bermaulid Rasul,maulid,turunan
42188,berpelajaran,ajar,turunan
75286,berpemerintahan,perintah,turunan
85895,berpenampilan,tampil,turunan
86733,berpenaruhan,taruh,turunan
88159,berpenerangan,terang,turunan
79876,berpenyakitan,sakit,turunan
88508,berseketiduran,tidur,turunan
81429,berselang-tenggang,selang (2),turunan
49257,bersibunuh,bunuh,turunan
49736,bersicakar,cakar (1),turunan
50445,bersicengang,cengang,turunan
50490,bersicepat,cepat,turunan
51511,bersidahulu,dahulu,turunan
60367,bersijengket,jengket,turunan
62793,bersikejar,kejar,turunan
63730,bersikeras,keras (1),turunan
65770,bersikukuh,kukuh,turunan
66547,bersilaju,laju (1),turunan
69418,bersilutu,lutu (2),turunan
69537,bersimaharajalela,maharajalela,turunan
78903,bersirobok,robok (2),turunan
85105,bersitabik,tabik (1),turunan
87167,bersitegang,tegang,turunan
87200,bersiteguh,teguh,turunan
89875,bersitumpu,tumpu,turunan
90005,bersitungkin,tungkin,turunan
82838,bersuling,seruling,turunan
87524,bertelengkup,telungkup,turunan
87924,bertenggang rasa,tengang rasa,turunan
82640,beserban,serban,turunan
82642,beserbankan,serban,turunan
82662,beserdam,serdam,turunan
82663,beserdawa,serdawa,turunan
82664,beserdih,serdih,turunan
82800,beserta,serta (2),turunan
88220,beterbangan,terbang (1),turunan
88269,beterjunan,terjun,turunan
88282,beterkup,terkup,turunan
88310,beternak,ternak,turunan
45667,bolang-baling,baling (1),turunan
49251,bunuhbunuhan,bunuh,turunan
49762,calar-balar,calar,turunan
49803,campang-camping,camping,turunan
50049,carut-marut,carut (1),turunan
50054,carut-marut,carut (2),turunan
50138,cebar-cebur,cebur,turunan
49703,cecairan,cair,turunan
50346,celas-celus,celus,turunan
70834,cengking-mengking,mengking,turunan
50646,ceruk-meruk,ceruk,turunan
50774,cingak-cinguk,cingak,turunan
50815,cirit-birit,cirit,turunan
50951,condong-mondong,condong,turunan
50957,congak-cangik,congak (1),turunan
51012,coreng-moreng,coreng,turunan
51176,cungap-cangip,cungap,turunan
51491,dahanam,dahan (2),turunan
51505,dahulu-mendahului,dahulu,turunan
51552,dalaman,dalam-dalam,turunan
51711,dansa-dansi,dansa,turunan
51854,datang-mendatangi,datang,turunan
52053,dayung-mayung,dayung,turunan
52061,debak-debuk,debak,turunan
51950,dedaunan,daun,turunan
52502,derak-derik,derak,turunan
46607,di bawah,bawah,turunan
68577,dua,lidah (1),turunan
53999,erang-erot,erang (2),turunan
54471,galang-gulung,galang (1),turunan
56154,gegoakan,goak (1),turunan
56615,geguritan,gurit,turunan
55366,gemeletuk,geletuk,turunan
55694,genjrang-genjreng,genjrang,turunan
55740,gerabak-gerubuk,gerabak (3),turunan
55870,geriak-geriuk,geriak (2),turunan
55888,gerit-gerit putih,gerit (2),turunan
55931,geruh-gerah,geruh (1),turunan
56018,getak-getuk,getuk (2),turunan
56020,gial-giul,gial (2),turunan
56087,gilang-gemilang,gilang,turunan
56088,gilap-gemilap,gilap,turunan
56248,gonjang-ganjing,gonjang,turunan
56249,gonjlang-ganjling,gonjlang,turunan
56353,gual-gail,gual (2),turunan
56354,gual-gail,gual (3),turunan
56589,gunung-ganang,gunung,turunan
56590,gunung-gemunung,gunung,turunan
56964,hancur-menghancurkan,hancur,turunan
57701,hina-menghinakan,hina,turunan
57863,hormat-menghormati,hormat,turunan
58267,ibunda,ibu,turunan
58835,inca-binca,inca,turunan
59082,instruksional,instruksi,turunan
59540,jejaka,jaka,turunan
59763,jejampi,jampi,turunan
59775,jejamu,jamu (1),turunan
59991,jejaring,jaring,turunan
60126,jejawi,jawi (3),turunan
60314,jejenang,jenang (2),turunan
59974,jemari,jari,turunan
59992,jemaring,jaring,turunan
60324,jendal-jendul,jendal,turunan
60338,jenggar-jenggur,jenggar,turunan
60353,jengkang-jengkot,jengkang,turunan
60420,jerah-jerih,jerah (2),turunan
60666,jongkang-jangking,jongkang (1),turunan
59862,jongkar-jangkir,jangkir (2),turunan
