entri_id,entri,subtype,kode_tagar
9,"aba-aba",R,R
16,"abah-abah",R,R
25,"abal-abal",R,R
94,"abong-abong",R,R
116,"abrit-abritan",R.purwa,R.purwa
155,"abu-abu (1)",R,R
156,"abu-abu (2)",R,R
163,"abuk-abuk",R,R
168,"abun-abun",R,R
177,"acak-acak",R,R
181,"acan-acan",R,R
183,"acang-acang (1)",R,R
184,"acang-acang (2)",R,R
201,"aci-aci (1)",R,R
202,"aci-aci (2)",R,R
203,"aci-aci kalimat (3)",R.purwa,R.purwa
236,"adang-adang",R,R
237,"adap-adapan",R.purwa,R.purwa
277,"adi-adi",R,R
479,"agak-agih",R.salin,R.salin
510,"agar-agar",R,R
614,"agut-agut",R,R
674,"ajar-ajar",R,R
681,"aji-aji (1)",R,R
682,"aji-aji (2)",R,R
949,"alai-belai",R.wasana,R.wasana
968,"alan-alan",R,R
973,"alang-alang",R,R
983,"alap-alap",R,R
1079,"ali-ali",R,R
1090,"alih-alih",R,R
1261,"alu-alu",R,R
1262,"alu-aluan",R.purwa,R.purwa
1273,"alun-alun",R,R
1279,"alur-alur",R,R
1333,"ambah-ambah",R,R
1336,"ambai-ambai (1)",R,R
1337,"ambai-ambai (2)",R,R
1393,"ambreng-ambrengan",R.purwa,R.purwa
1399,"ambu-ambu (1)",R,R
1400,"ambu-ambu (2)",R,R
1408,"ambung-ambung",R,R
1500,"amin-amin",R,R
1513,"amit-amit",R,R
1543,"ampai-ampai",R,R
1601,"amung-amung",R,R
1628,"anai-anai",R,R
1681,"ancak-ancak",R,R
1685,"ancar-ancar",R,R
1708,"andang-andang",R,R
1715,"andeng-andeng",R,R
1794,"anggel-anggel",R,R
1814,"anggup-anggip",R.salin,R.salin
1830,"angkal-angkal",R,R
1854,"angkul-angkul (1)",R,R
1855,"angkul-angkul (2)",R,R
1862,"angkut-angkut",R,R
1888,"ani-ani",R,R
1902,"aning-aning",R,R
1919,"anjang-anjang (1)",R,R
1920,"anjang-anjang (2)",R,R
1921,"anjang-anjang (3)",R,R
1922,"anjang-anjang (4)",R,R
1923,"anjang-anjang (5)",R,R
1932,"anjing-anjing (1)",R,R
1933,"anjing-anjing (2)",R,R
1984,"antah-berantah",R.wasana,R.wasana
1997,"antar-antar",R,R
2051,"anter-anter",R,R
2179,"antung-antung",R,R
2199,"anyak-anyik",R.salin,R.salin
2203,"anyang-anyang",R,R
2204,"anyang-anyangan",R.purwa,R.purwa
2257,"api-api (1)",R,R
2258,"api-api (2)",R,R
2269,"apit-apit (1)",R,R
2270,"apit-apit (2)",R,R
