entri,entri_id,pola,basis_kandidat,basis_id,basis_jenis,sufiks
"bebal",3967,"R.purwa","bal",3341,"dasar",""
"bebali",3968,"R.purwa","bali",3400,"dasar",""
"bebali",3968,"R.purwa","bal",3341,"dasar","-i"
"bebalun",3969,"R.purwa","balun",3439,"dasar",""
"beban (1)",3970,"R.purwa","ban",3465,"dasar",""
"beban (2)",3971,"R.purwa","ban",3465,"dasar",""
"bebandos",3972,"R.purwa","bandos",3516,"dasar",""
"bebangkit",3974,"R.purwa","bangkit",3574,"dasar",""
"bebar",3975,"R.purwa","bar",3674,"dasar",""
"bebarongan",3976,"R.purwa","barongan",46199,"turunan",""
"bebarongan",3976,"R.purwa","barong",3752,"dasar","-an"
"bebaru",3977,"R.purwa","baru",3762,"dasar",""
"bebas",3978,"R.purwa","bas",3782,"dasar",""
"Bebaso",3981,"R.purwa","baso",3822,"dasar",""
"bebat",3982,"R.purwa","bat",3832,"dasar",""
"bebe",3983,"R.purwa","be",3962,"dasar",""
"bebek (1)",3984,"R.purwa","bek",4072,"dasar",""
"bebek (2)",3985,"R.purwa","bek",4072,"dasar",""
"bebekel",3987,"R.purwa","bekel",4090,"dasar",""
"bebeksan",3989,"R.purwa","beksan",4102,"dasar",""
"bebel",3990,"R.purwa","bel",4109,"dasar",""
"bebenah",3991,"R.purwa","benah",4349,"dasar",""
"beberapa",3993,"R.purwa","berapa",4591,"dasar",""
"beberas",3994,"R.purwa","beras",4592,"dasar",""
"beberok",3995,"R.purwa","berok",4665,"dasar",""
"bebesaran",3996,"R.purwa","besaran",47642,"turunan",""
"bebesaran",3996,"R.purwa","besar",4721,"dasar","-an"
"bebi",3997,"R.purwa","bi",4808,"dasar",""
"bebodoran",3998,"R.purwa","bodoran",48293,"turunan",""
"bebodoran",3998,"R.purwa","bodor",5264,"dasar","-an"
"bebondresan",3999,"R.purwa","bondres",5362,"dasar","-an"
"bebotoh",4000,"R.purwa","botoh",5462,"dasar",""
"bebuku",4002,"R.purwa","buku",5666,"dasar",""
"bebuku",4002,"R.purwa","bu",5558,"dasar","-ku"
"bebuyutan",4004,"R.purwa","buyutan",49485,"turunan",""
"bebuyutan",4004,"R.purwa","buyut",5896,"dasar","-an"
"bela",4110,"-el-","ba",3022,"dasar",""
"bela",4111,"-el-","ba",3022,"dasar",""
"belabar",4112,"-el-","babar",3045,"dasar",""
"belabas",4113,"-el-","babas",3047,"prakategorial",""
"belacak",4114,"-el-","bacak",3075,"dasar",""
"belada",4118,"-el-","bada",3092,"dasar",""
"beladau",4119,"-el-","badau",3112,"dasar",""
"beladu",4120,"-el-","badu",3125,"dasar",""
"belah (1)",4121,"-el-","bah",3176,"dasar",""
"Belah (2)",4122,"-el-","bah",3176,"dasar",""
"belai (1)",4125,"-el-","ba",3022,"dasar","-i"
"belai (2)",4126,"-el-","ba",3022,"dasar","-i"
"belai (3)",4127,"-el-","ba",3022,"dasar","-i"
"belak",4128,"-el-","bak",3266,"dasar",""
"belaka",4129,"-el-","baka",3269,"dasar",""
"belako",4132,"-el-","bako",3308,"dasar",""
"belalah",4133,"-el-","balah",3351,"dasar",""
"belalah",4133,"-el-","ba",3022,"dasar","-lah"
"belalai",4134,"-el-","balai",3353,"dasar",""
"belalai",4134,"-el-","bala",3346,"dasar","-i"
"belalak",4135,"-el-","balak",3360,"dasar",""
"belalang (1)",4136,"-el-","balang",3372,"dasar",""
"belam (2)",4139,"-el-","bam",3453,"dasar",""
"belam (3)",4140,"-el-","bam",3453,"dasar",""
"belambang",4142,"-el-","bambang",3457,"dasar",""
"belan",4143,"-el-","ban",3465,"dasar",""
"Belanda",4145,"-el-","banda",3487,"dasar",""
"belandang",4146,"-el-","bandang",3493,"dasar",""
"belandar",4147,"-el-","bandar",3495,"dasar",""
"belandung (1)",4149,"-el-","bandung",3527,"dasar",""
"belandung (2)",4150,"-el-","bandung",3527,"dasar",""
"belang",4151,"-el-","bang",3531,"dasar",""
"belanga",4152,"-el-","banga",3534,"dasar",""
"belangir",4154,"-el-","bangir",3552,"dasar",""
"belangkas (1)",4155,"-el-","bangkas",3566,"dasar",""
"belangkas (2)",4156,"-el-","bangkas",3566,"dasar",""
"belantai",4160,"-el-","bantai",3630,"dasar",""
"belantai",4160,"-el-","banta",3627,"dasar","-i"
"belarak",4169,"-el-","barak",3683,"dasar",""
"belas (1)",4170,"-el-","bas",3782,"dasar",""
"belas (2)",4171,"-el-","bas",3782,"dasar",""
"belasah",4172,"-el-","basah",3788,"dasar",""
"belat (1)",4176,"-el-","bat",3832,"dasar",""
"belat (2)",4177,"-el-","bat",3832,"dasar",""
"belata",4178,"-el-","bata",3833,"dasar",""
"belati (1)",4182,"-el-","bati",3861,"prakategorial",""
"belati (1)",4182,"-el-","bat",3832,"dasar","-i"
"belati (2)",4183,"-el-","bati",3861,"prakategorial",""
"belati (2)",4183,"-el-","bat",3832,"dasar","-i"
"belatik",4184,"-el-","batik",3864,"dasar",""
"belatuk",4185,"-el-","batuk",3890,"dasar",""
"belatung",4186,"-el-","batung",3892,"dasar",""
"belau (1)",4187,"-el-","bau",3898,"dasar",""
"belau (2)",4188,"-el-","bau",3898,"dasar",""
"belawa",4190,"-el-","bawa",3914,"dasar",""
"belebas",4193,"-el-","bebas",3978,"dasar",""
"belebat (1)",4194,"-el-","bebat",3982,"dasar",""
"belebat (2)",4195,"-el-","bebat",3982,"dasar",""
"belebat (3)",4196,"-el-","bebat",3982,"dasar",""
"belecak",4197,"-el-","becak",4005,"dasar",""
