entri,entri_id,pola,basis_kandidat,basis_id,basis_jenis,sufiks,indeks_basis,makna_snippet
"beban (1)",3970,"R.purwa","ban",3465,"dasar","","ban","barang (yang berat) yang dibawa (dipikul, dijunjung, dsb.); muatan (yang ditaruhkan di punggung kuda, keledai, dsb.) | s"
"beban (2)",3971,"R.purwa","ban",3465,"dasar","","ban","jarak terdekat antara lubang tembak dan bidang bebas pada suatu kegiatan peledakan"
"bebenah",3991,"R.purwa","benah",4349,"dasar","","benah","membersihkan dan merapikan (tempat tidur dsb.); membenahi; berkemas-kemas; mengemas-ngemasi"
"beberok",3995,"R.purwa","berok",4665,"dasar","","berok","makanan terbuat dari campuran sayuran segar dan sambal tomat mentah (ada beberapa macam seperti *beberok terung*; *beber"
"bebesaran",3996,"R.purwa","besaran",47642,"turunan","","besaran","pohon murbei; besaran"
"bebesaran",3996,"R.purwa","besar",4721,"dasar","-an","besar","pohon murbei; besaran"
"bebuku",4002,"R.purwa","buku",5666,"dasar","","buku","kumpulan buku"
"bebuku",4002,"R.purwa","bu",5558,"dasar","-ku","bu","kumpulan buku"
"bela",4111,"-el-","ba",3022,"dasar","","ba","perihal ikut mati bersama tuannya (suaminya dsb.) dengan jalan bunuh diri | tuntutan balasan atas orang yang membunuh"
"belai (3)",4127,"-el-","ba",3022,"dasar","-i","ba","tali pengaman yang digunakan untuk membantu para pemanjat tebing, dinding bangunan tinggi, dsb."
"beluan",4301,"-el-","bu",5558,"dasar","-an","bu","takaran beras, dibuat dari rotan yang dianyam, bentuknya seperti songkok"
"belubu",4303,"-el-","bubu",5580,"dasar","","bubu","guci (dari tanah liat yang bermulut kecil) tempat menyimpan beras agar jangan dimakan bubuk atau tikus"
"berakah",4553,"-er-","ba",3022,"dasar","-kah","ba","sangat pemberani (karena terlalu bangga akan diri sendiri) | sombong"
"beranya",4590,"-er-","ba",3022,"dasar","-nya","ba","duet penari topeng sebagai pembukaan pada pertunjukan teater topeng"
"berat",4595,"-er-","bat",3832,"dasar","","bat","besar ukurannya (di antara jenisnya atau benda-benda yang serupa) | besar tekanannya (timbangannya) | payah; parah (tent"
"berewok",4622,"-er-","bewok",4804,"dasar","","bewok","bulu atau rambut yang tumbuh pada dagu dan pipi belakang; bewok; cambang bauk"
"bina (1)",4988,"-in-","ba",3022,"dasar","","ba","bangun sesuatu (negara, orang, dsb.) supaya lebih baik"
"cecah",6313,"R.purwa","cah",5965,"dasar","","cah","tercecah"
"cecak (1)",6314,"R.purwa","cak",5980,"dasar","","cak","binatang merayap, biasa hidup di rumah (pada langit-langit, di dekat lampu), makanannya binatang kecil (nyamuk dsb.), se"
"cecawi",6320,"R.purwa","cawi",6296,"dasar","","cawi","cawi-cawi"
"cecere",6327,"R.purwa","cere",6737,"dasar","","cere","ikan air tawar atau payau, kecil, biasanya berkelompok, panjang mencapai 9 cm, mendiami dasar perairan tropis, kedalaman"
"cecongor",6329,"R.purwa","congor",7060,"dasar","","congor","moncong; congor"
"cela",6412,"-el-","ca",5899,"dasar","","ca","sesuatu yang menyebabkan kurang sempurna; cacat; kekurangan | aib; noda (tentang kelakuan dsb.) | hinaan; kecaman; kriti"
"celampak",6422,"-el-","campak",6063,"dasar","","campak","tercampak"
